player_id,player,nationality,squad,birth_year,value,height,position,foot,league,games,games_starts,minutes,goals_2018,goals_2019,pens_2018,pens_2019,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,Glenn Murray,eng ENG,Brighton,1983,3000000,186,attack - Centre-Forward,right,Premier League,35,25,2192,12,0,4,6,9,0,0.49,0,0.49,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Mahmoud Dahoud,de GER,Dortmund,1996,18000000,178,midfield - Central Midfield,right,Bundesliga,23,11,1146,0,4,0,0,4,0,0,0.31,0.31,0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2145,Liam Rosenior,eng ENG,Brighton,1984,1000000,178,Defender - Right-Back,right,Premier League,3,1,164,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2168,Mathew Ryan,au AUS,Brighton,1992,8000000,184,Goalkeeper,right,Premier League,38,38,3420,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2251,Ezequiel Schelotto,it ITA,Brighton,1989,4500000,187,Defender - Right-Back,right,Premier League,20,15,1318,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,Jordan Veretout,fr FRA,Fiorentina,1993,18000000,177,midfield - Central Midfield,right,Serie A,36,36,3209,8,1,2,3,10,1,0.22,0.03,0.25,0.17,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,Markus Suttner,at AUT,Brighton,1987,2500000,179,Defender - Left-Back,left,Premier League,14,13,1179,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,Leonardo Ulloa,ar ARG,Brighton,1986,5000000,188,attack - Centre-Forward,right,Premier League,10,2,267,1,0,0,0,0,0,0.34,0,0.34,0.34,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Kevin Kampl,si SVN,Leverkusen,1990,18000000,178,midfield - Central Midfield,right,Bundesliga,1,0,30,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Phil Bardsley,sco SCO,Burnley,1985,1500000,180,Defender - Right-Back,right,Premier League,13,13,1125,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Ashley Barnes,eng ENG,Burnley,1989,8000000,186,attack - Centre-Forward,right,Premier League,36,21,2165,9,0,0,0,10,0,0.37,0,0.37,0.37,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Sven Bender,de GER,Leverkusen,1989,15000000,186,Defender - Centre-Back,right,Bundesliga,29,29,2345,2,0,0,0,0,0,0.08,0,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,Matthew Lowton,eng ENG,Burnley,1989,5000000,180,Defender - Right-Back,right,Premier League,26,25,2295,0,3,0,0,1,0,0,0.12,0.12,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,Eliaquim Mangala,fr FRA,Manchester City,1991,15000000,187,Defender - Centre-Back,left,Premier League,9,4,488,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
